Reef ID,ReefName,X_COORD,Y_COORD,Area_HA,Zone,MgmtArea,MgmtAreaCode,MgmtAreaShort
18-039,Dip Reef (18-039),147.449,-18.414,1409.103,Marine National Park,Central Management Area,3,Central
18-041,Faraday Reef (18-041),147.349,-18.422,249.787,Marine National Park,Central Management Area,3,Central
18-071,Glow Reef (18-071),147.403,-18.528,884.095,Marine National Park,Central Management Area,3,Central
18-080,Bowl Reef (18-080),147.539,-18.499,2599.014,Marine National Park,Central Management Area,3,Central
18-084a,Cup Reef (North) (18-084a),147.633,-18.607,3095.506,Marine National Park,Central Management Area,3,Central
18-084c,Saucer Reef (18-084c),147.615,-18.658,1039.357,Marine National Park,Central Management Area,3,Central
18-085a,Spoon Reef (North) (18-085a),147.566,-18.658,239.554,Marine National Park,Central Management Area,3,Central
18-090,Anzac Reefs (No 3) (18-090),147.842,-18.731,134.434,Marine National Park,Central Management Area,3,Central
18-121a,Hall Reef (North) (18-121a),147.514,-18.632,1945.211,Marine National Park,Central Management Area,3,Central
19-045,Stanley Reef (19-045),148.08,-19.295,6954.488,Marine National Park,Central Management Area,3,Central
19-063a,Kangaroo Reef (East) (19-063a),148.617,-19.263,10662.202,Marine National Park,Central Management Area,3,Central
19-107,Seagull Reef (19-107),148.979,-19.524,1412.545,Marine National Park,Central Management Area,3,Central
19-109a,Fairey Reef (No 1) (19-109a),148.943,-19.539,867.642,Marine National Park,Central Management Area,3,Central
19-142,Lath Reef (19-142),149.661,-19.573,415.814,Marine National Park,Central Management Area,3,Central
19-146,Rafter Reef (19-146),149.633,-19.611,1127.125,Marine National Park,Central Management Area,3,Central
19-147,Plaster Reef (19-147),149.67,-19.63,1632.974,Marine National Park,Central Management Area,3,Central
19-195,Napier Reef (19-195),149.895,-19.846,493.796,Marine National Park,Central Management Area,3,Central
20-067a,Border Island Reef (No 1) (20-067a),149.029,-20.168,72.437,Marine National Park,Central Management Area,3,Central
20-067b,Border Island Reef (No 2) (20-067b),149.039,-20.169,18.971,Marine National Park,Central Management Area,3,Central
20-067c,Border Island Reef (No 3) (20-067c),149.034,-20.157,26.159,Marine National Park,Central Management Area,3,Central
20-068a,Dumbell Reef (No 1) (20-068a),149.007,-20.173,5.55,Marine National Park,Central Management Area,3,Central
20-068b,Dumbell Reef (No 2) (20-068b),149.009,-20.175,2.545,Marine National Park,Central Management Area,3,Central
20-351a,Pompey Reef (No 1) (20-351a),150.535,-20.941,2063.663,Marine National Park,Southern Management Area,4,Southern
20-380,U/N Reef (20-380),151.043,-20.915,1675.698,Marine National Park,Southern Management Area,4,Southern
21-129,U/N Reef (21-129),151.096,-21.354,2282.005,Marine National Park,Southern Management Area,4,Southern
21-139,U/N Reef (21-139),151.469,-21.473,1433.901,Marine National Park,Southern Management Area,4,Southern
21-205,U/N Reef (21-205),152.501,-21.086,102.877,Marine National Park,Southern Management Area,4,Southern
21-221,U/N Reef (21-221),152.43,-21.144,441.579,Marine National Park,Southern Management Area,4,Southern
21-278,U/N Reef (21-278),152.544,-21.105,358.328,Marine National Park,Southern Management Area,4,Southern
21-285,U/N Reef (21-285),152.544,-21.139,254.892,Marine National Park,Southern Management Area,4,Southern
21-444,U/N Reef (21-444),151.62,-21.579,558.934,Marine National Park,Southern Management Area,4,Southern
21-450,U/N Reef (21-450),151.624,-21.627,1125.855,Marine National Park,Southern Management Area,4,Southern
21-496,U/N Reef (21-496),152.476,-21.646,259.883,Marine National Park,Southern Management Area,4,Southern
21-511,Frigate Reef (21-511),152.428,-21.734,233.025,Marine National Park,Southern Management Area,4,Southern
21-518,Price Cay Reef (21-518),152.456,-21.784,203.806,Marine National Park,Southern Management Area,4,Southern
21-519,Turtle Reef (21-519),152.383,-21.8,1576.57,Marine National Park,Southern Management Area,4,Southern
21-520,U/N Reef (21-520),152.476,-21.805,369.379,Marine National Park,Southern Management Area,4,Southern
21-521,U/N Reef (21-521),152.454,-21.809,18.815,Marine National Park,Southern Management Area,4,Southern
21-522,U/N Reef (21-522),152.409,-21.807,13.808,Marine National Park,Southern Management Area,4,Southern
